Date,Max_Temp_C,Grid_Load_MW
2023-04-01,44.65,2483.2
2023-04-02,43.38,2516.22
2023-04-03,44.96,2498.66
2023-04-04,46.71,2624.08
2023-04-05,43.19,2487.1
2023-04-06,43.19,2411.18
2023-04-07,46.82,2646.2
2023-04-08,45.2,2493.05
2023-04-09,35.45,2406.0
2023-04-10,44.75,2553.26
2023-04-11,42.73,2357.02
2023-04-12,35.45,2458.46
2023-04-13,44.14,2506.23
2023-04-14,39.83,2019.31
2023-04-15,40.21,2021.72
2023-04-16,35.45,2494.99
2023-04-17,41.63,2087.99
2023-04-18,44.29,2492.97
2023-04-19,41.84,2098.33
2023-04-20,40.84,2068.95
2023-04-21,46.59,2632.02
2023-04-22,43.21,2462.46
2023-04-23,43.8,2454.67
2023-04-24,35.45,2007.39
2023-04-25,42.57,2358.44
2023-04-26,43.88,2581.58
2023-04-27,41.36,2005.72
2023-04-28,44.41,2485.94
2023-04-29,42.46,2387.03
2023-04-30,43.08,2498.59
2023-05-01,38.8,1925.08
2023-05-02,43.7,2547.61
2023-05-03,35.45,1964.98
2023-05-04,37.88,1908.18
2023-05-05,41.65,2040.49
2023-05-06,37.56,1985.17
2023-05-07,40.42,1961.51
2023-05-08,36.08,1819.52
2023-05-09,37.34,1898.87
2023-05-10,40.39,2040.38
2023-05-11,35.45,2064.58
2023-05-12,40.34,2010.65
2023-05-13,39.77,1990.63
2023-05-14,39.4,1962.54
2023-05-15,37.04,1900.34
2023-05-16,38.56,2038.54
2023-05-17,39.08,1926.06
2023-05-18,42.11,2337.22
2023-05-19,40.69,2029.95
2023-05-20,36.47,1952.68
2023-05-21,40.65,1992.22
2023-05-22,39.23,2043.45
2023-05-23,38.65,2016.19
2023-05-24,41.22,2033.49
2023-05-25,42.06,2431.55
2023-05-26,41.86,2174.55
2023-05-27,38.32,1897.12
2023-05-28,39.38,1958.9
2023-05-29,40.66,2004.04
2023-05-30,41.95,2046.82
2023-05-31,39.04,1919.62
2023-06-01,34.63,1670.24
2023-06-02,32.79,1641.07
2023-06-03,32.61,1591.88
2023-06-04,36.63,1842.94
2023-06-05,37.71,1807.83
2023-06-06,34.86,1759.34
2023-06-07,37.01,1892.03
2023-06-08,35.72,1686.48
2023-06-09,33.71,1704.19
2023-06-10,35.72,1847.52
2023-06-11,38.08,1843.32
2023-06-12,34.93,1830.05
2023-06-13,38.13,1927.42
2023-06-14,29.76,1452.77
2023-06-15,36.64,1829.4
2023-06-16,35.17,1786.62
2023-06-17,34.4,1723.9
2023-06-18,35.18,1786.11
2023-06-19,31.02,1505.21
2023-06-20,34.56,1736.5
2023-06-21,35.71,1715.03
2023-06-22,37.96,1892.23
2023-06-23,33.96,1652.98
2023-06-24,35.45,1632.37
2023-06-25,34.0,1761.63
2023-06-26,36.83,1896.11
2023-06-27,35.66,1813.33
2023-06-28,33.94,1642.41
2023-06-29,36.03,1785.51
2023-06-30,35.19,1820.36
2023-07-01,31.94,1603.95
2023-07-02,28.6,1545.76
2023-07-03,29.34,1486.9
2023-07-04,29.22,1470.39
2023-07-05,27.07,1338.19
2023-07-06,30.59,1536.29
2023-07-07,30.52,1518.48
2023-07-08,30.01,1535.92
2023-07-09,29.53,1524.38
2023-07-10,27.17,1319.16
2023-07-11,29.16,1391.37
2023-07-12,29.31,1373.92
2023-07-13,28.4,1445.17
2023-07-14,29.68,1428.7
2023-07-15,30.81,1432.76
2023-07-16,33.77,1708.05
2023-07-17,30.35,1642.11
2023-07-18,30.52,1525.45
2023-07-19,29.85,1534.48
2023-07-20,26.16,1312.21
2023-07-21,29.95,1492.4
2023-07-22,30.12,1551.98
2023-07-23,34.93,1731.81
2023-07-24,29.62,1494.13
2023-07-25,30.6,1546.24
2023-07-26,35.45,1463.12
2023-07-27,27.66,1432.73
2023-07-28,32.29,1605.53
2023-07-29,31.5,1537.41
2023-07-30,31.58,1605.93
2023-07-31,28.18,1364.14
2023-08-01,29.15,1458.68
2023-08-02,23.54,1176.35
2023-08-03,27.51,1429.97
2023-08-04,35.45,1559.77
2023-08-05,24.36,1216.68
2023-08-06,25.21,1301.25
2023-08-07,26.54,1396.46
2023-08-08,25.33,1294.53
2023-08-09,23.24,1162.44
2023-08-10,26.48,1258.25
2023-08-11,24.22,1157.5
2023-08-12,27.29,1349.09
2023-08-13,24.5,1194.57
2023-08-14,29.44,1462.63
2023-08-15,24.77,1241.49
2023-08-16,25.7,1311.27
2023-08-17,27.97,1394.81
2023-08-18,23.88,1218.23
2023-08-19,26.79,1342.96
2023-08-20,28.95,1348.93
2023-08-21,23.12,1109.27
2023-08-22,26.71,1328.25
2023-08-23,26.86,1282.49
2023-08-24,27.9,1425.17
2023-08-25,23.87,1269.83
2023-08-26,23.7,1245.88
2023-08-27,27.38,1358.51
2023-08-28,26.93,1421.22
2023-08-29,26.84,1349.47
2023-08-30,27.03,1334.78
2023-08-31,24.98,1218.31
2023-09-01,25.46,1258.1
2023-09-02,25.59,1259.9
2023-09-03,23.57,1187.09
2023-09-04,28.73,1444.61
2023-09-05,25.95,1297.54
2023-09-06,22.62,1152.72
2023-09-07,26.31,1375.19
2023-09-08,23.05,1200.01
2023-09-09,26.57,1254.46
2023-09-10,27.32,1238.16
2023-09-11,23.36,1214.65
2023-09-12,35.45,1277.99
2023-09-13,25.83,1280.04
2023-09-14,26.64,1273.7
2023-09-15,28.79,1349.58
2023-09-16,35.45,1252.53
2023-09-17,23.49,1212.58
2023-09-18,23.22,1132.22
2023-09-19,35.45,1038.87
2023-09-20,35.45,1214.98
2023-09-21,25.68,1303.71
2023-09-22,25.55,1203.72
2023-09-23,26.65,1341.89
2023-09-24,25.03,1250.53
2023-09-25,27.91,1424.32
2023-09-26,24.47,1229.51
2023-09-27,30.44,1473.36
2023-09-28,26.25,1372.4
2023-09-29,23.29,1156.36
2023-09-30,22.86,1141.55
2023-10-01,27.3,1318.57
2023-10-02,25.89,1272.48
2023-10-03,27.77,1344.15
2023-10-04,27.29,1355.66
2023-10-05,26.19,1395.29
2023-10-06,24.65,1163.71
2023-10-07,23.31,1084.82
2023-10-08,25.45,1345.89
2023-10-09,28.05,1392.16
2023-10-10,26.77,1304.94
2023-10-11,23.85,1244.41
2023-10-12,26.69,1304.02
2023-10-13,27.11,1446.82
2023-10-14,24.57,1262.5
2023-10-15,26.65,1307.96
2023-10-16,26.46,1430.67
2023-10-17,24.05,1172.4
2023-10-18,27.06,1389.87
2023-10-19,27.46,1388.03
2023-10-20,28.51,1490.38
2023-10-21,28.45,1500.44
2023-10-22,23.58,1180.82
2023-10-23,24.46,1185.53
2023-10-24,27.37,1391.49
2023-10-25,27.37,1334.48
2023-10-26,27.37,1469.16
2023-10-27,34.05,1709.09
2023-10-28,27.48,1355.81
2023-10-29,28.61,1439.78
2023-10-30,28.25,1345.03
2023-10-31,27.64,1333.55
2023-11-01,29.37,1528.49
2023-11-02,31.52,1543.05
2023-11-03,28.45,1370.37
2023-11-04,29.53,1503.15
2023-11-05,29.03,1510.75
